rank_id,start_pos,start_pos_head_axis,end_pos,end_pos_tail_axis,cluster_size,belong_which_class,max_weight,average_gap,score
1,6717043,6717035,6717299,6717308,8,0,10.0,36.571429,8.0
2,6717509,6717501,6717620,6717629,4,0,10.0,37.0,4.0
3,6722814,6722806,6722911,6722920,3,0,10.0,48.5,3.0
4,6723154,6723146,6723227,6723236,3,0,10.0,36.5,3.0
5,6718541,6718533,6718579,6718588,2,0,10.0,38.0,2.0
6,6723030,6723022,6723069,6723078,2,0,10.0,39.0,2.0
7,6716640,6716632,6716640,6716649,1,0,10.0,0,1.0
8,6716809,6716801,6716809,6716818,1,0,10.0,0,1.0
9,6716986,6716978,6716986,6716995,1,0,10.0,0,1.0
10,6717432,6717424,6717432,6717441,1,0,10.0,0,1.0
11,6717673,6717665,6717673,6717682,1,0,10.0,0,1.0
12,6717795,6717787,6717795,6717804,1,0,10.0,0,1.0
13,6717871,6717863,6717871,6717880,1,0,10.0,0,1.0
14,6718052,6718044,6718052,6718061,1,0,10.0,0,1.0
15,6718178,6718170,6718178,6718187,1,0,10.0,0,1.0
16,6718736,6718728,6718736,6718745,1,0,10.0,0,1.0
17,6719278,6719270,6719278,6719287,1,0,10.0,0,1.0
18,6719480,6719472,6719480,6719489,1,0,10.0,0,1.0
19,6720421,6720413,6720421,6720430,1,0,10.0,0,1.0
20,6720570,6720562,6720570,6720579,1,0,10.0,0,1.0
21,6720675,6720667,6720675,6720684,1,0,10.0,0,1.0
22,6722221,6722213,6722221,6722230,1,0,10.0,0,1.0
23,6722276,6722268,6722276,6722285,1,0,10.0,0,1.0
24,6722349,6722341,6722349,6722358,1,0,10.0,0,1.0
25,6722451,6722443,6722451,6722460,1,0,10.0,0,1.0
26,6723515,6723507,6723515,6723524,1,0,10.0,0,1.0
